species	group	category	fold	from	to	delta	PiS	PiN	PiNPiS	syn_counts	nsyn_counts	Lsyn	Lnsyn	TD4	TD0	GC3	gradient	eps	Sd	beta	pb	Sb	alpha	D1	D2	D3	D4
Qd	tree	0:EXDEL-DEL	0	-3	-2	1	0.02689729	0.069521411	2.58469979	1471	151	26595	1191	0.7192137	1.63392972	0.4548193	0.00007	5.18E-06	-4349.501223	3.372733435	0.989972553	49.98516885	1	5.49E-16	1.29E-12	3.00E-09	0.010027444
Qd	tree	0:EXDEL-EXDEL	0	-3	-3	0	0.01873195	0.001012319	0.05404234	101	11	2655	5466	0.8036723	0.89862632	0.4271709	0.00007	0.026766157	-4529.816258	3.885296245	0.091441453	48.34209868	1	2.80E-16	2.15E-12	1.62E-08	0.908558531
Qd	tree	0:EXDEL-STABLE	0	-3	0	3	0.02266296	1.404146208	61.95775338	27173	5997	568287	2444	0.5361267	1.99908152	0.4699216	0.00246	9.52E-07	-0.54887479	0.010594954	0.989999516	49.99981496	0.999805	0.009993732	6.75E-06	7.02E-14	0
Qd	tree	0:EXDEL-TOL	0	-3	-1	2	0.02537724	0.496800465	19.57661236	4409	495	83655	573	0.6481926	2.03802514	0.4578032	0.00008	1.30E-05	-44.59708253	0.011896124	0.989969496	49.98370428	0.999815	0.009649847	0.000245834	0.000130549	4.27E-06
Qd	tree	0:STABLE-DEL	0	0	-2	-2	0.01667259	0.004394419	0.26357148	75522	40472	2059964	3931153	0.2502973	-0.1654819	0.4688257	0.00765	2.88E-05	-339.3524902	0.252625169	0.000290918	0.167003683	0.001696	0.253073091	0.197288691	0.315664994	0.233682306
Qd	tree	0:STABLE-EXDEL	0	0	-3	-3	0.01749373	0.002178282	0.12451782	70616	46133	1842134	8942554	0.2739019	-0.23392917	0.4696444	0.00031	6.95E-08	-1468.169733	0.323462971	4.98E-07	0.097438904	0.000007	0.105721156	0.116597031	0.239009941	0.538671375
Qd	tree	0:STABLE-STABLE	0	0	0	0	0.0244909	0.017072379	0.69709079	1446	149	27172	4108	0.3311636	0.48452894	0.4550519	0.00009	0.026850871	-3924.365352	0.112706921	0.192644837	32.13119589	0.959036	0.335705601	0.099369954	0.127613854	0.244665753
Qd	tree	0:STABLE-TOL	0	0	-1	-1	0.01489345	0.008073267	0.54206834	88062	77142	2674818	4171826	0.2147167	-0.02017892	0.4699267	0.00057	0.001819023	-282.964378	0.095610814	0.000101075	1.116358941	0.000356	0.611301912	0.148449067	0.163216239	0.076931708
Qd	tree	0:TOL-DEL	0	-1	-2	-1	0.02049035	0.004994964	0.24377151	40483	8417	906778	730389	0.3127641	-0.06723086	0.4618669	0.00009	8.38E-06	-2069.343556	0.172949015	0.0001429	0.031296741	0.000668	0.288346912	0.140780349	0.205880308	0.36484953
Qd	tree	0:TOL-EXDEL	0	-1	-3	-2	0.02205133	0.002051985	0.09305494	22953	3365	479968	697081	0.3447729	-0.19163754	0.4635273	0.00006	2.54E-07	-4999.816906	0.311130584	2.49E-06	0.043240796	0.000044	0.078865624	0.082508124	0.167565035	0.671058726
